,risk_rating,Self_exclude_flag,Country_Code,BR Code,Period,Client,Variable_1_Y1,Variable_13_Y1,Variable_19_Y0,Variable_3_Y0,Variable_14_Y0,Variable_22_Y1,Variable_22_Y0,Variable_2_Y0,Variable_9_Y0
20427,5,1,1,5,2018Q4,8801,573034.2778,626536.2376,618039.7082,601883.0963,596554.0063,587671.2233,617785.14,592407.8191,616889.8049
6119,6,1,0,4,2018Q3,2448,613031.3596,579009.6295,627761.2067,595125.7933,578745.7485,580069.6711,578881.3442,592084.8321,601519.1559
26697,4,1,0,3,2019Q1,13396,584137.7252,609486.328,604744.0873,584190.3063,611804.3463,588525.6166,570619.3019,575527.6557,619591.9281
26488,8,1,0,34,2015Q2,13329,627817.3398,626924.2272,581362.4809,573367.3116,624547.7888,614040.0127,593674.0853,636982.141,611122.8676
15037,6,1,0,42,2020Q1,5916,581303.4425,594275.1479,615409.0875,624008.0024,574204.3686,625750.7164,626117.0742,626026.8526,622102.1911
18985,8,1,1,5,2017Q3,7889,611161.1045,617824.4259,580116.8841,609014.0281,624908.5749,615112.0373,577997.7947,624012.7743,595797.1411
2062,4,1,0,2,2019Q4,809,600712.9027,622866.8444,583816.1621,622848.804,578879.132,614784.5484,611425.8405,583550.3409,575364.0414
1338,6,1,0,18,2016Q2,525,626879.252,594040.615,621867.924,603524.738,609899.1249,574161.1382,611134.4217,639742.8503,604321.1951
7995,4,1,0,12,2019Q2,3186,605602.9635,587981.547,617252.2023,582623.7571,590584.2704,625401.4323,596599.2916,587772.1791,612832.1796
17828,8,1,0,11,2019Q2,7277,625213.3558,594465.3249,622552.0824,595544.2753,611027.1804,595134.2813,577230.4547,584710.7975,597184.673
21595,5,1,0,0,2018Q2,9634,573495.844,610576.7276,620427.2814,613794.3079,630490.7601,618574.0061,622347.1255,629740.316,626873.5651
16465,9,0,1,5,2017Q1,6588,625875.3166,613572.969,607943.9818,616660.9795,610016.0901,573420.1475,589152.9177,569749.3248,621394.8905
6130,5,1,0,12,2019Q3,2453,619919.9516,593172.2744,591628.6183,607763.9542,612709.5241,576133.443,570127.4515,638733.4296,602731.5374
938,7,1,0,8,2017Q1,375,592993.2152,588623.81,569434.442,618371.3568,624271.9392,618739.0714,616087.0735,600649.698,593081.9802
9759,5,1,1,5,2015Q4,3919,752395.2599,609890.4305,811998.277,685241.9901,696545.2656,674618.3872,610288.2269,997344.6388,831761.0295
9511,7,1,1,5,2017Q4,3828,624889.6249,622789.7352,578745.6581,608689.5509,599006.9361,623342.1694,589206.7938,624498.4058,618250.0229
1036,4,1,0,12,2015Q1,404,620300.9078,570203.1303,579747.8301,579127.4179,612340.5239,603125.8489,605900.078,631881.0892,616027.4492
627,6,1,0,15,2016Q4,263,573358.7688,601562.0871,571681.4211,601379.3949,581219.7574,615210.6722,569042.2581,616615.4282,602861.6421
27396,6,1,0,13,2019Q1,13688,576793.8105,607602.3599,589698.3398,616299.473,594815.2384,586015.6126,617705.2488,620703.1548,572471.0476
19256,8,1,0,16,2017Q2,8054,581397.6178,607778.0867,606298.0607,600141.4085,594553.0998,580514.3127,622941.6588,579696.3009,619146.2888
10746,8,1,0,14,2019Q2,4282,587630.8353,609920.4006,621752.3435,617917.249,590537.8639,613519.453,621229.576,600369.1591,619893.5723
28200,4,1,0,12,2019Q4,14024,600699.5739,609990.9277,624792.7515,602216.1224,576239.176,602556.463,616911.3951,590604.8879,574084.2216
6953,8,1,0,24,2019Q2,2765,598948.2123,626535.2924,593219.6736,612278.3695,580862.6647,575398.3392,573213.4734,607790.1952,612299.0677
2684,6,1,0,0,2017Q4,1066,627938.5477,611265.4205,577730.5105,626739.7012,584363.7666,589212.1223,606184.3167,615467.934,595276.8229
4483,11,0,0,12,2016Q3,1802,587635.3992,579260.2792,558117.1016,647936.2096,587300.0286,591478.0153,616158.3593,730413.3056,648554.9056
21396,8,1,0,21,2019Q2,9477,591734.4134,574455.0089,582959.4185,614754.4293,617214.8944,607211.6353,621858.7852,603385.347,585907.3851
15582,10,0,1,5,2020Q1,6180,578944.1788,599592.5082,602455.705,594715.6628,575226.0129,580361.2143,622361.7039,598752.1002,625860.3305
17548,7,1,0,42,2018Q1,7133,612750.9529,594181.6429,611753.0671,581281.5916,578474.2563,623571.1051,603629.9306,581875.1753,608706.1036
282,6,1,1,5,2016Q1,121,583824.0332,573723.0054,608448.1624,582952.0456,609096.115,608520.75,611425.1423,570123.5072,594427.0341
22581,7,1,0,26,2019Q1,10490,580522.6826,570228.684,609897.8034,601564.1091,609714.4573,626463.73,608427.0382,625023.6893,604785.341
20496,8,1,0,4,2020Q1,8863,593101.0017,620774.0839,625875.0902,608019.5921,614999.1236,612671.6526,593875.1883,609790.9492,593839.225
3598,4,1,0,33,2015Q2,1430,641413.0874,624928.7618,813456.5691,659549.6129,666760.4679,628808.4822,604262.8836,920417.8099,733165.3808
7091,9,0,0,12,2017Q4,2820,584303.4449,581250.3804,602571.8514,617734.2462,615800.7538,596634.4377,586401.9949,620445.8389,611940.1349
27497,11,0,1,5,2015Q2,13729,599547.4491,575361.3077,604163.1566,628760.1794,599396.6342,606525.5843,568484.1025,596736.9077,590003.9739
25029,7,1,0,12,2019Q2,12764,575133.3305,628450.6785,618895.9261,595623.6876,615738.022,596369.1789,581067.19,580538.7487,570591.4556
8485,4,1,0,6,2016Q3,3386,619497.6971,600139.7746,599462.0649,584975.3428,578552.5741,617454.4963,629189.5896,612341.644,576350.7713
17333,7,1,1,5,2019Q3,7026,625652.3711,591907.8387,598754.739,599642.5412,625379.7541,626430.7871,609003.2138,618185.2594,607684.8058
3390,4,1,1,5,2016Q3,1342,617999.9183,602298.3151,626835.9623,573915.0353,579632.0491,585745.5942,616923.0245,599359.955,616444.9405
25765,7,1,1,5,2015Q3,13051,604045.5066,591498.5352,614092.006,588190.0513,600617.1973,627631.4879,622886.5668,654520.3733,604067.5998
353,8,1,0,18,2017Q1,150,583761.1892,617904.9502,594746.1231,591084.0967,596833.9076,571576.7701,602870.4605,624153.044,573597.3236
13822,6,1,0,21,2019Q2,5442,604527.1034,571152.1586,610497.8008,608527.7272,597904.7428,574970.4751,627612.38,601232.9172,600655.4663
18534,9,0,0,42,2018Q4,7645,617746.9871,572797.9566,625678.2736,617677.0364,581492.3667,587878.3102,603453.9111,572123.7792,586491.1
7683,5,1,1,5,2016Q3,3071,596456.5672,618181.6352,594531.1134,581494.9781,584062.0257,610346.4433,579274.3357,624356.0924,576697.7105
24585,7,1,1,5,2018Q1,12607,590982.6415,621244.6547,623357.9078,577403.4199,582821.2982,583656.8057,621480.0877,581034.8202,619084.3787
5589,9,0,1,5,2015Q2,2230,595401.3976,588335.6049,582909.6256,581587.9811,584008.2926,618468.1161,624655.1269,624854.9403,575017.4316
19107,8,1,0,33,2019Q4,7961,584815.0426,570519.9662,604851.7598,626176.9184,611755.4409,584079.5971,608014.6993,573901.1848,585903.9426
20195,6,1,1,5,2018Q3,8632,623421.883,572314.5801,588025.1294,610244.4638,583223.2158,584273.877,579960.0118,617971.8428,615834.1749
9100,11,0,0,11,2018Q2,3651,611956.3582,597498.9773,606416.7199,572337.8947,579161.4854,597659.8261,592135.6399,600966.7339,580697.6965
6512,7,1,1,5,2017Q1,2601,621051.9528,573914.7816,611822.7919,592522.1953,589235.4747,573462.9642,625920.0711,601375.436,613257.0393
8856,4,1,1,5,2018Q1,3542,598757.8627,581055.55,624232.8726,627520.3822,570121.201,615170.6806,577641.4612,570504.8229,610393.3013
3459,7,1,0,12,2015Q4,1366,592527.6097,587330.8247,613391.7991,585138.7659,600731.1922,623183.4975,606700.2499,628188.9523,617322.8572
24181,8,1,1,5,2020Q1,12366,588101.3119,594830.4347,601239.3238,588635.6087,621577.9235,588410.7203,590760.7706,628392.654,618491.8382
26185,1,1,0,39,2019Q3,13215,627434.5251,604674.9433,601885.3332,594936.4873,573092.3057,616843.6671,587599.7255,639324.944,601444.0892
12570,8,1,0,80,2018Q4,4968,572070.4496,610078.2705,600587.6588,608216.2311,602096.6642,598581.0537,612995.5399,592588.6814,613980.9127
7650,3,1,0,20,2017Q4,3054,625796.5899,598661.0862,616594.318,572529.6596,575056.7979,608596.1892,589013.9513,618311.8492,605523.7993
26415,10,0,0,13,2015Q4,13305,654130.7003,569459.5151,787306.3285,623596.3362,636091.3212,613757.8745,594322.3881,965556.8545,759814.4833
18533,6,1,0,42,2020Q1,7645,576386.3259,607515.8659,603069.0613,586778.7977,620714.0484,577508.155,584674.3119,581432.7664,572182.1267
6772,6,1,0,34,2015Q3,2702,594219.4555,623259.3519,606640.3044,620676.7696,586631.1023,590083.8876,582557.9937,599320.9132,628002.8972
18590,7,1,0,47,2017Q4,7682,621668.651,580448.8394,599457.7141,591943.7913,618401.1329,626652.8051,577425.6423,623762.5006,617416.3693
26332,17,0,0,20,2019Q3,13274,619466.7407,627699.7839,620472.8012,569723.5488,609789.8558,615168.1579,574002.6127,608295.3837,606966.58
24952,8,1,0,19,2016Q1,12734,621645.2708,607026.0665,599394.1054,618564.2404,609020.2729,627644.9717,625558.2085,572605.0047,622363.3911
2590,9,0,1,5,2016Q3,1026,581015.5759,598160.643,619220.1809,622998.2094,616369.7488,611471.374,602129.9809,581699.9203,604913.5649
24640,6,1,0,16,2016Q4,12628,583820.3951,602152.1307,625232.1639,610687.5417,578936.4631,573338.135,572349.1521,596308.5261,575769.978
7791,5,1,1,5,2014Q4,3107,575101.9001,570272.1251,579127.2427,607108.9236,625419.5188,618537.9485,580105.2858,586726.8053,604718.324
22733,7,1,1,5,2020Q1,10650,623207.5305,583686.2222,626965.383,599937.0361,628833.8676,620333.7701,583693.0757,603476.3391,602443.4517
12735,13,0,0,33,2017Q1,5023,613899.751,589382.5088,613380.1339,605516.5358,602331.847,595280.0798,622062.9642,593773.7122,595976.2764
26041,4,1,1,5,2017Q3,13143,617871.6538,627640.8258,584119.6363,587127.7242,577754.5998,629233.1849,605904.1064,597957.7626,583392.3066
21646,6,1,1,5,2017Q3,9675,625773.6489,606161.3573,576603.5621,625314.8591,605099.3912,578910.5481,611730.0864,580820.194,572059.7574
5277,5,1,0,2,2017Q1,2104,627395.101,593883.7471,599427.4128,604672.1942,600062.8715,622220.5529,569061.3729,622420.3311,610732.8143
25792,4,1,0,51,2015Q1,13059,605937.7927,603002.5402,681530.7291,609386.7004,598458.8331,607200.2375,579904.2137,756916.3727,731966.188
4530,6,1,0,3,2015Q1,1816,588293.3544,628198.2963,601013.9035,585075.2638,610489.302,605339.0998,598592.7002,610714.4987,596435.3612
14124,8,1,0,12,2019Q3,5543,597535.355,600051.9438,575309.7843,599745.4316,595806.1356,577413.0173,616051.193,615274.3841,599814.0944
15567,6,1,0,40,2017Q2,6174,600657.1322,586784.1013,603669.8497,625882.9107,595350.4989,627934.2997,611856.8128,597735.3701,619249.3876
27905,8,1,1,5,2019Q2,13897,590130.4476,624151.9434,601890.0664,621581.8476,619386.9519,571193.5382,597490.8273,605280.9219,601680.8168
18261,6,1,0,8,2020Q1,7496,617606.9118,623310.5255,623362.196,612180.1702,575953.404,591744.2143,577703.9042,598003.2045,617911.2113
13713,6,1,0,2,2017Q1,5385,575572.5928,599797.2692,593688.0816,573240.1897,598430.5174,588509.141,596777.598,583595.5247,609515.7387
6624,6,1,0,34,2019Q4,2648,610413.5591,591740.3102,654592.2282,641300.0971,589207.2399,593299.0835,624482.9779,679207.7,615621.5044
20668,7,1,0,16,2019Q2,8985,600976.5384,572844.2174,625161.0293,594180.2703,619622.3056,607829.4876,600897.849,620614.5716,590001.2947
8073,4,1,1,5,2020Q1,3217,610358.521,575549.426,612427.322,609194.2961,574293.3379,594811.6138,602575.6332,580187.405,577601.1695
9151,11,0,0,0,2018Q1,3666,585465.3782,614551.0918,617757.2935,613940.6943,586654.0392,573820.5762,607708.7337,589410.2484,582286.0664
17240,8,1,0,11,2017Q1,6974,594791.2682,606657.8369,602466.3093,617395.7004,571841.5079,602260.7617,598672.3353,580521.0428,614510.7115
23217,8,1,1,5,2019Q2,11159,610491.1314,602388.5684,625807.0387,607551.9762,571911.5931,572765.9209,617435.4783,602738.4288,612177.2093
6709,8,1,1,5,2018Q3,2682,615397.2357,571553.4354,584307.9176,630695.5774,618151.253,624699.945,593607.7474,664814.7563,585195.0781
8464,15,0,1,5,2016Q4,3378,581211.9971,613655.9567,587122.348,616503.6977,592850.3087,592988.3192,581502.219,579042.2305,601200.3313
16683,11,0,0,8,2018Q1,6683,601521.1233,614495.9143,605131.916,602133.2049,620957.4868,592921.4947,585676.5869,625920.844,625995.731
24371,8,1,1,5,2015Q2,12532,598502.4789,600441.2863,588732.5077,585540.2365,585459.2609,602021.8711,584579.1297,590606.2881,606953.8037
17972,8,1,0,58,2017Q2,7348,604891.2376,587034.4185,613988.0221,577361.3639,618291.0448,592511.474,584708.8128,623633.5714,585994.9838
12558,2,1,0,13,2017Q1,4962,580146.4617,583954.8617,608856.3644,582051.7262,593726.7963,592190.7375,615652.5047,601619.4986,616902.1028
17474,9,0,0,38,2016Q4,7098,576990.6961,570410.3672,585493.4851,608455.3484,570796.0817,627417.463,585867.3178,577922.877,626209.5752
24343,8,1,1,5,2019Q1,12524,627345.0612,623186.6476,579546.1774,617835.5172,626473.0202,571891.6067,606319.6571,596503.5344,606704.1248
594,8,1,0,4,2015Q1,252,578042.1974,609303.7858,619602.3105,576535.8897,590627.2112,604880.279,616071.7865,572670.2269,578940.3987
25906,4,1,1,5,2015Q4,13095,587426.3537,613652.1883,581559.7508,601825.1977,577519.1363,597671.3331,624507.8809,625607.9779,626509.5346
22519,8,1,0,26,2020Q1,10436,626352.9939,609300.7048,602462.9671,612104.239,576493.7986,606398.9686,614430.4515,623012.6569,574822.4834
9491,6,1,0,4,2019Q4,3820,569501.42,571427.1343,626428.5471,605769.3795,582235.7089,593433.5201,613557.1605,607001.0541,580541.0691
9880,3,1,1,5,2016Q3,3963,627314.3113,612793.9516,569691.5106,619894.747,594241.3351,617826.2396,596043.7688,607267.3269,595475.7016
16430,8,1,1,5,2018Q3,6570,615093.2417,625379.1266,582779.9221,607607.2662,574168.7761,571176.1927,612661.0482,631079.1505,571446.2585
23152,4,1,0,26,2019Q4,11092,570420.0547,591390.0597,604068.4857,622105.8096,592917.398,608406.3942,604487.8613,606247.5596,611087.437
2100,5,1,1,5,2015Q4,824,612210.0161,577005.9159,590598.4657,596787.5476,591082.1806,598118.024,574902.9999,571520.2445,570991.3605
19714,7,1,0,9,2017Q2,8329,572565.4067,588627.9287,572029.5248,603114.5408,589019.5596,617489.3068,600553.0662,588744.4303,624764.3588
25444,5,1,0,12,2015Q2,12931,625871.1518,609041.2915,576911.0902,621468.9897,580874.6997,592816.4376,609041.5425,593888.2211,622614.0022
26155,6,1,0,3,2016Q2,13201,588303.082,624555.4664,599875.9368,590146.7414,613050.5086,626890.2899,621804.7529,627854.2089,613431.0052
14443,6,1,0,10,2015Q2,5677,585738.7962,584435.9917,605597.3263,627184.0185,581384.1128,590421.4649,614584.8123,571794.04,576002.8994
10820,7,1,0,34,2016Q1,4307,621113.6929,580870.8922,631881.583,586654.4139,600796.5718,614777.0903,603325.8011,605858.2919,593959.2316
20125,10,0,0,38,2018Q3,8583,581185.1459,621495.7649,607873.1117,628956.8425,611694.6012,601765.8431,594755.5659,588777.3448,623587.4394
16892,4,1,1,5,2018Q3,6789,595073.6591,578583.0003,588666.9109,580975.3715,624499.1779,595756.5488,609889.9015,585900.2112,598463.2682
7579,11,0,0,33,2015Q4,3018,600129.8409,591900.2443,610951.3779,617936.5934,584005.1388,594213.0905,624409.4135,631906.5559,582961.4333
16698,7,1,1,5,2015Q4,6694,580662.5376,588141.9803,625671.1177,619488.7635,616437.6892,602988.6999,605562.9812,602686.7376,622305.0915
5351,13,0,0,34,2015Q3,2132,601890.178,581101.249,623603.9632,616968.0446,573274.2128,615604.8677,571646.0261,628130.265,602975.3635
24152,8,1,1,5,2020Q1,12322,575710.2552,615317.4729,586881.8795,584007.0768,574103.0067,602249.8991,580493.7053,602290.4797,573249.9454
24781,7,1,0,90,2015Q4,12670,596065.4604,622847.7367,613393.5962,573324.2057,580239.9103,594017.7187,624425.4106,616570.6331,586096.449
6103,6,1,0,12,2016Q2,2436,622326.1176,612588.4827,578196.6544,614114.0514,622441.6307,599085.6806,599657.7674,609892.968,581115.6574
4066,6,1,0,12,2019Q3,1626,615968.6183,600066.9463,581827.4265,573027.5427,624924.3141,618625.8961,611434.8503,626517.0509,591186.7382
5662,6,1,0,12,2017Q4,2258,611064.05,588532.3061,619430.4514,620414.0159,626500.2321,612910.7328,580745.9866,586152.8395,628422.542
13760,8,1,0,87,2018Q2,5417,604617.1034,584139.3489,601407.829,581398.401,603159.7446,605327.2741,620441.7945,607467.987,571332.4622
2354,6,1,1,5,2017Q3,929,589448.5964,617837.2974,591508.2962,603407.3055,570017.1508,616591.33,588381.2798,578160.4937,623935.1611
15904,5,1,0,8,2016Q2,6324,620898.4354,585641.7631,608791.3385,582687.8579,581065.7082,584449.5356,596713.6767,602246.0374,626661.2286
3996,4,1,0,42,2020Q1,1598,609876.831,601180.8491,638462.3672,611969.1569,630996.1793,574961.0751,614421.3384,672447.923,638542.9073
23055,4,1,0,13,2019Q1,10991,571910.4787,623707.877,596775.7253,614725.224,598889.2215,586298.4192,610054.9161,599299.6953,627427.4607
26367,5,1,1,5,2017Q1,13289,579261.142,611990.7864,614797.7772,587218.2798,619260.8768,615780.3483,607686.0144,585604.9655,572844.9377
18138,8,1,1,5,2017Q2,7429,618714.1349,576703.2613,618700.9093,628239.8706,616222.1376,581150.4296,588670.9988,591810.1142,585005.8156
13330,3,1,0,30,2016Q4,5231,626897.3665,618520.5875,621788.1981,581144.6732,593243.2894,602705.7992,593224.3143,576956.3031,604002.8228
1424,9,0,0,33,2018Q4,564,613992.7392,626152.5561,588396.4328,569202.9375,621688.605,611055.5072,573594.0807,594525.8606,596313.9777
1167,5,1,0,12,2017Q3,460,573090.1769,588942.2267,625124.2172,593604.6517,600537.1313,586068.6772,627530.0305,629150.8684,622252.1652
1164,5,1,0,12,2016Q3,459,582312.701,628177.8449,604211.4724,600473.6971,570357.4512,628339.6445,596890.4085,593313.1429,626001.5326
26481,7,1,0,19,2015Q1,13327,581182.6576,604872.4058,621810.6501,628763.5684,608196.7988,573622.3225,613994.5287,635422.622,573970.876
9583,9,0,0,19,2015Q3,3856,577227.7979,572750.3625,577285.9418,618658.0985,627512.0339,589188.5112,623155.09,615516.2711,624423.1762
16818,5,1,1,5,2017Q4,6756,616410.1822,624079.4203,608597.3709,612468.7724,612596.5786,628229.0033,608805.5615,611103.698,588194.4341
26178,6,1,0,4,2017Q3,13209,594805.4537,579792.1434,600548.8387,591216.9614,595709.4053,573673.9506,574169.4634,584594.7166,620938.5231
17337,6,1,0,74,2017Q4,7028,610913.9444,610858.8637,578546.9751,610773.5199,610490.3503,612358.8286,575282.7142,621783.2716,615780.2926
17977,7,1,1,5,2016Q3,7351,617031.0347,585056.6762,582656.4536,610757.4894,617429.0411,583330.3225,607008.0218,597599.8685,612456.2333
9658,6,1,1,5,2019Q4,3881,587933.914,615122.449,572535.2421,579678.8876,609442.6915,601012.8422,615933.2891,599005.5089,600788.999
26703,5,1,0,12,2015Q1,13398,580674.0901,580042.8393,590358.3188,628908.9485,598126.4262,611584.4039,602907.1117,642104.8533,613671.5605
27148,9,0,0,4,2014Q4,13581,597769.662,610573.6145,631894.5866,578433.6644,578019.4194,582347.8766,595965.7889,597796.5405,599259.653
2660,7,1,0,4,2019Q3,1055,608626.1927,605614.2717,606651.7827,622150.5434,585739.9927,596116.8283,605358.3846,629347.2098,628761.345
22770,7,1,1,5,2020Q1,10695,597436.9514,606426.1411,573959.2572,608037.2681,593677.8854,613405.2823,625249.9662,620214.0741,602760.7231
976,7,1,0,11,2018Q4,385,626148.9164,601100.1521,584791.381,579166.787,623937.0039,603327.5343,592724.9261,628909.6809,609601.4457
24252,8,1,0,12,2020Q1,12461,590462.885,569338.0137,609490.6998,592560.7248,621657.3415,586932.4922,588053.4742,628541.5898,573066.3127
8290,7,1,1,5,2018Q1,3308,621108.7036,587927.2833,575459.4362,590183.911,617805.2432,615371.2494,590178.2764,608517.7825,621229.1361
7203,6,1,0,0,2018Q1,2864,586990.8128,599345.0902,570548.2444,581000.9307,574548.3523,624901.0074,584247.7981,591382.8325,570864.3855
11816,11,0,1,5,2016Q4,4701,586007.5053,603106.2486,580564.6011,575263.5317,584839.5302,605509.7293,595520.0261,575530.0397,618833.5599
577,5,1,0,4,2016Q3,242,600050.9284,622295.1444,628761.9906,577799.3561,579822.6841,625096.2735,585890.6751,630149.4774,571445.3177
21374,8,1,1,5,2019Q3,9465,617179.5702,571975.1332,620017.1226,590783.7385,574869.5885,601807.0894,625844.8777,573607.9272,580232.2396
9631,13,0,1,5,2016Q4,3872,582352.2573,574985.0588,590634.146,596609.7694,570526.7438,589262.2782,628391.1453,586205.3515,577811.9443
4578,9,0,0,12,2020Q1,1838,619049.4712,569463.0815,608462.7841,590388.3891,616362.7373,624135.5067,624117.2908,626614.0121,596077.0277
15604,6,1,0,4,2017Q4,6189,570762.0814,612832.0247,606610.3082,600769.249,592784.8513,603091.1008,610106.4434,591358.5711,569287.1283
22379,8,1,0,26,2020Q1,10305,625532.9299,593062.6729,586609.9231,596831.2808,584676.5793,597898.7694,594399.0417,589216.4189,581913.951
6961,8,1,0,0,2018Q4,2766,608994.5011,618633.2299,593187.7159,583934.6289,571469.802,575903.3257,606309.8465,638641.8475,595269.489
10717,7,1,0,19,2015Q3,4273,625012.7982,626252.3849,610559.9452,609793.2537,577227.8982,609610.4578,577715.4725,622478.1764,585722.7828
21381,6,1,0,16,2019Q2,9467,615435.9001,624592.918,603070.7724,609758.0446,609574.2978,593323.9629,600269.5941,607691.2992,619582.7501
13257,7,1,1,5,2019Q4,5205,580807.5026,604877.8948,610029.8198,579759.4966,618044.2564,603160.8374,625715.99,600898.9819,597257.4299
18815,6,1,0,2,2017Q2,7799,598733.0912,612770.193,581296.6604,623590.1437,621400.8483,599055.7138,575732.0933,583712.1252,603716.7915
5644,7,1,0,47,2014Q4,2253,598008.5286,582352.0171,595194.9871,626812.7773,626642.8054,605123.46,623543.5915,589013.3938,608677.0244
19763,8,1,1,5,2020Q1,8355,570808.6635,604424.8216,585197.5743,608201.0359,592633.5569,623749.4373,577891.2567,578940.4393,610699.6206
1708,7,1,0,19,2016Q4,670,604812.3348,584527.5699,612165.8995,575062.3179,602239.3058,615419.6303,593431.1885,611254.5106,627474.452
5195,7,1,0,16,2017Q2,2075,605898.3767,613677.129,623751.0864,585702.5707,628125.1625,592270.4367,594029.293,579548.5033,597726.0324
17302,5,1,1,5,2018Q2,7007,573792.6165,589293.4883,576603.7933,569982.9888,584585.9762,571743.1056,618273.0162,616114.9248,613775.4673
2311,6,1,0,11,2019Q1,914,590611.1204,597610.7924,588054.5764,606614.1255,593782.6713,620933.8729,570997.2729,589904.8127,598097.672
9336,6,1,0,12,2017Q3,3746,588892.9927,620238.0933,620783.5333,597913.6836,610716.1459,615199.7824,591401.9504,592810.6702,606023.7295
9834,4,1,1,5,2018Q3,3944,578134.7356,596886.9521,598435.7264,615293.2838,616930.3837,578884.769,613104.21,607196.2913,616353.0158
3160,9,0,1,5,2015Q4,1249,599482.8932,578913.8929,580536.3682,601590.9119,591519.3391,628302.1341,624754.3095,641686.1777,613173.3479
27774,7,1,1,5,2019Q3,13848,621365.1103,596497.515,576956.037,578752.2399,622597.5944,572787.95,569772.1178,599389.1511,581592.7623
1930,5,1,0,12,2018Q3,759,619251.3509,578282.4097,600541.8591,621102.6568,571861.2493,594021.406,614542.9391,617188.8873,605889.8521
14083,8,1,0,4,2019Q2,5530,603013.2727,586760.4771,581067.4261,592879.617,601481.5075,586879.7293,620636.0402,608676.7092,587540.3664
7608,3,1,0,4,2016Q1,3032,599297.2852,589708.1646,601189.1976,599164.7598,587220.4603,573750.2596,612127.7924,687706.1816,590049.14
24079,6,1,0,26,2019Q4,12220,583511.4243,597682.1245,621571.5628,581290.4209,628765.3566,605261.4719,595880.5286,625903.0066,610480.7893
14961,5,1,0,2,2016Q1,5886,587635.3402,617759.0776,601706.1738,615007.3961,603680.6264,617561.0762,577859.2408,592526.3881,586648.3727
919,8,1,0,11,2016Q4,371,621602.1192,574772.4758,608040.9943,585177.5531,573032.8706,585073.5373,611939.8215,621376.7569,595727.7622
6056,9,0,0,12,2015Q4,2415,628734.1497,614849.2821,590035.2949,622553.3784,580439.7754,600719.3698,572656.2871,603697.9287,581316.4504
22512,9,0,0,26,2019Q2,10431,578288.1543,618675.1673,582985.8408,593229.6347,578602.6997,597452.7457,627464.4255,613790.3886,573533.4453
4075,8,1,0,8,2017Q3,1629,589001.127,593896.8715,595773.0721,619130.9164,599348.9599,583450.7568,603899.9051,629008.7142,592935.0201
25347,5,1,0,51,2015Q1,12894,572008.9238,574955.5574,595046.2637,583656.3531,592160.8751,591454.9809,582555.6785,606640.0899,589513.7521
5671,7,1,0,16,2016Q1,2261,582164.5141,623395.1175,580553.5301,621521.2772,625084.26,603965.883,587411.7809,624414.8499,625400.3398
25764,6,1,1,5,2018Q1,13051,609234.1741,570142.778,625499.2227,584549.662,594467.8698,591233.3406,592997.2444,615324.5552,635064.9185
19941,4,1,1,5,2017Q3,8467,582659.3765,594727.2638,601702.8791,599713.7071,593277.0347,576647.5016,626821.4194,619973.0744,586330.3653
25346,4,1,0,51,2016Q1,12894,597822.4201,620883.1886,634720.816,597107.2854,615392.6917,605055.8493,613396.5204,595510.4201,602817.913
494,5,1,0,12,2017Q2,211,570516.2867,618565.6361,574850.9224,634049.2816,602247.4641,620760.1291,572449.0639,582226.8215,608898.751
11219,9,0,0,0,2016Q3,4450,593652.0748,623134.5268,620525.5136,617790.2019,620090.6152,621440.0728,577707.0708,597323.1646,614924.001
18888,8,1,0,12,2018Q4,7842,589366.0024,601139.4132,599553.708,573239.394,594931.3679,627800.1469,605168.4676,620257.583,614012.6035
6111,4,1,0,11,2015Q1,2439,590072.3681,597970.4069,626803.6463,627708.981,591777.4248,599945.9264,628628.7805,574805.9585,584843.3486
11429,6,1,0,3,2015Q1,4539,600979.909,628433.63,607640.2699,582968.5369,603466.2076,602697.1145,619363.321,620794.8895,628744.0316
20920,4,1,0,30,2018Q1,9131,628568.535,590758.5144,592157.6855,575504.727,608204.8551,572603.1043,612751.3917,614269.3794,604312.5303
27938,5,1,0,4,2015Q3,13908,625252.1905,610960.6852,580782.0272,619212.3944,593472.6266,606769.6008,575237.3109,613132.4893,610191.4152
18935,10,0,0,9,2018Q3,7865,593478.0429,571402.3952,548272.2449,718224.7926,601403.7255,625045.7293,595049.2587,736879.4552,598054.7467
20002,7,1,0,19,2019Q2,8507,614191.3096,627052.7315,597397.0497,588193.8731,570769.6383,623938.2089,600780.3122,579671.3129,602609.3304
16607,8,1,0,42,2020Q1,6652,605723.1944,602976.8385,611141.7003,580675.6112,570859.4036,585228.0068,600744.3138,585364.9453,594761.8816
23138,6,1,1,5,2019Q3,11081,604409.5239,587237.0172,571569.6386,583420.5384,624985.7035,602140.0194,595920.9847,583010.384,608739.2033
396,6,1,1,5,2014Q4,168,624896.7332,597943.1805,597264.0898,569055.4172,573458.6155,626122.9496,600778.5021,595871.3794,570774.7045
17063,5,1,1,5,2018Q1,6886,603912.2426,612974.8281,573324.3367,570936.8493,615218.4054,575459.7184,627215.1911,584496.0408,573193.5347
22315,6,1,0,26,2020Q1,10240,591473.184,628240.1072,591362.5215,598362.7887,585919.8133,576390.643,606843.0774,609312.5286,576895.1698
3966,6,1,0,43,2016Q3,1582,583946.8118,623234.3721,619113.2027,606883.4056,619671.4127,605643.7377,622815.7111,592554.5999,624136.5085
